"Name","Resident Jobs"
"Description","Industry number and percentages refer to the total and share of workers (aged 16 and over) in an industry, by the residence of the jobholder. CCC generated 5-year estimates and coded this variable to correspond with broader categories outlined by the <a href=""https://www.naics.com/naics-code-description/"" target=""_blank"">North American Industry Classification System</a>.&nbsp;<br />
<br />
""Management and Professional Services"" includes workers in Legal Services, Scientific Research and Development, Architectural and Engineering Services, and other professions which tend to require advanced degrees or certificates.<br />
<br />
""Other Services"" includes workers in Auto Repair and Maintenance, Barber Shops, Beauty Salons, and Religious Organizations, among others.<br />
Canarsie,"Hospitality, Accommodation, Restaurants",2019,Number,5873,318
Astoria,"Hospitality, Accommodation, Restaurants",2019,Number,14483,401
Sunnyside/Woodside,"Hospitality, Accommodation, Restaurants",2019,Number,10747,402
Jackson Heights,"Hospitality, Accommodation, Restaurants",2019,Number,16397,403
Elmhurst/Corona,"Hospitality, Accommodation, Restaurants",2019,Number,14133,404
Ridgewood/Glendale,"Hospitality, Accommodation, Restaurants",2019,Number,11164,405
Rego Park/Forest Hills,"Hospitality, Accommodation, Restaurants",2019,Number,4091,406
Flushing,"Hospitality, Accommodation, Restaurants",2019,Number,14887,407
Fresh Meadows/Briarwood,"Hospitality, Accommodation, Restaurants",2019,Number,7243,408
Woodhaven,"Hospitality, Accommodation, Restaurants",2019,Number,7955,409
Howard Beach,"Hospitality, Accommodation, Restaurants",2019,Number,5474,410
Bayside,"Hospitality, Accommodation, Restaurants",2019,Number,4543,411
Jamaica/St. Albans,"Hospitality, Accommodation, Restaurants",2019,Number,9524,412
Queens Village,"Hospitality, Accommodation, Restaurants",2019,Number,6714,413
The Rockaways,"Hospitality, Accommodation, Restaurants",2019,Number,3832,414
St. George,"Hospitality, Accommodation, Restaurants",2019,Number,6671,501
South Beach,"Hospitality, Accommodation, Restaurants",2019,Number,4298,502
Tottenville,"Hospitality, Accommodation, Restaurants",2019,Number,4032,503
Bronx,"Hospitality, Accommodation, Restaurants",2019,Number,71765,36005
Brooklyn,"Hospitality, Accommodation, Restaurants",2019,Number,123809,36047
Manhattan,"Hospitality, Accommodation, Restaurants",2019,Number,96935,36061
Queens,"Hospitality, Accommodation, Restaurants",2019,Number,131187,36081
Staten Island,"Hospitality, Accommodation, Restaurants",2019,Number,15001,36085
New York City,"Hospitality, Accommodation, Restaurants",2019,Number,438697,3651000
Battery Park/Tribeca,"Hospitality, Accommodation, Restaurants",2019,Percent,0.0862,101
Greenwich Village,"Hospitality, Accommodation, Restaurants",2019,Percent,0.0862,102
Lower East Side,"Hospitality, Accommodation, Restaurants",2019,Percent,0.14304,103
Chelsea/Clinton,"Hospitality, Accommodation, Restaurants",2019,Percent,0.09203,104
Midtown Business District,"Hospitality, Accommodation, Restaurants",2019,Percent,0.09203,105
Murray Hill/Stuyvesant,"Hospitality, Accommodation, Restaurants",2019,Percent,0.06337,106
Upper West Side,"Hospitality, Accommodation, Restaurants",2019,Percent,0.08028,107
Upper East Side,"Hospitality, Accommodation, Restaurants",2019,Percent,0.0561,108
Manhattanville,"Hospitality, Accommodation, Restaurants",2019,Percent,0.16448,109
Central Harlem,"Hospitality, Accommodation, Restaurants",2019,Percent,0.13228,110
East Harlem,"Hospitality, Accommodation, Restaurants",2019,Percent,0.1437,111
Washington Heights,"Hospitality, Accommodation, Restaurants",2019,Percent,0.17163,112
Mott Haven,"Hospitality, Accommodation, Restaurants",2019,Percent,0.14427,201
Hunts Point,"Hospitality, Accommodation, Restaurants",2019,Percent,0.14427,202
Morrisania,"Hospitality, Accommodation, Restaurants",2019,Percent,0.12662,203
Concourse/Highbridge,"Hospitality, Accommodation, Restaurants",2019,Percent,0.14646,204
University Heights,"Hospitality, Accommodation, Restaurants",2019,Percent,0.1462,205
East Tremont,"Hospitality, Accommodation, Restaurants",2019,Percent,0.12662,206
Bedford Park,"Hospitality, Accommodation, Restaurants",2019,Percent,0.15261,207
Riverdale,"Hospitality, Accommodation, Restaurants",2019,Percent,0.10682,208
Unionport/Soundview,"Hospitality, Accommodation, Restaurants",2019,Percent,0.1198,209
Throgs Neck,"Hospitality, Accommodation, Restaurants",2019,Percent,0.09134,210
Pelham Parkway,"Hospitality, Accommodation, Restaurants",2019,Percent,0.09178,211
Williamsbridge,"Hospitality, Accommodation, Restaurants",2019,Percent,0.07456,212
Williamsburg/Greenpoint,"Hospitality, Accommodation, Restaurants",2019,Percent,0.11105,301
Fort Greene/Brooklyn Hts,"Hospitality, Accommodation, Restaurants",2019,Percent,0.09092,302
Bedford Stuyvesant,"Hospitality, Accommodation, Restaurants",2019,Percent,0.11901,303
Bushwick,"Hospitality, Accommodation, Restaurants",2019,Percent,0.15895,304
East New York,"Hospitality, Accommodation, Restaurants",2019,Percent,0.08661,305
Park Slope,"Hospitality, Accommodation, Restaurants",2019,Percent,0.09261,306
Sunset Park,"Hospitality, Accommodation, Restaurants",2019,Percent,0.20382,307
Crown Heights North,"Hospitality, Accommodation, Restaurants",2019,Percent,0.09578,308
Crown Heights South,"Hospitality, Accommodation, Restaurants",2019,Percent,0.08715,309
Bay Ridge,"Hospitality, Accommodation, Restaurants",2019,Percent,0.10102,310
Bensonhurst,"Hospitality, Accommodation, Restaurants",2019,Percent,0.11722,311
Borough Park,"Hospitality, Accommodation, Restaurants",2019,Percent,0.08971,312
Coney Island,"Hospitality, Accommodation, Restaurants",2019,Percent,0.07418,313
Flatbush/Midwood,"Hospitality, Accommodation, Restaurants",2019,Percent,0.08977,314
Sheepshead Bay,"Hospitality, Accommodation, Restaurants",2019,Percent,0.07831,315
Brownsville,"Hospitality, Accommodation, Restaurants",2019,Percent,0.08586,316
East Flatbush,"Hospitality, Accommodation, Restaurants",2019,Percent,0.06504,317
Canarsie,"Hospitality, Accommodation, Restaurants",2019,Percent,0.06046,318
Astoria,"Hospitality, Accommodation, Restaurants",2019,Percent,0.15327,401
Sunnyside/Woodside,"Hospitality, Accommodation, Restaurants",2019,Percent,0.14034,402
Jackson Heights,"Hospitality, Accommodation, Restaurants",2019,Percent,0.18956,403
Elmhurst/Corona,"Hospitality, Accommodation, Restaurants",2019,Percent,0.19981,404
Ridgewood/Glendale,"Hospitality, Accommodation, Restaurants",2019,Percent,0.1176,405
Rego Park/Forest Hills,"Hospitality, Accommodation, Restaurants",2019,Percent,0.0684,406
Flushing,"Hospitality, Accommodation, Restaurants",2019,Percent,0.13332,407
Fresh Meadows/Briarwood,"Hospitality, Accommodation, Restaurants",2019,Percent,0.09315,408
Woodhaven,"Hospitality, Accommodation, Restaurants",2019,Percent,0.10849,409
Howard Beach,"Hospitality, Accommodation, Restaurants",2019,Percent,0.08511,410
Bayside,"Hospitality, Accommodation, Restaurants",2019,Percent,0.07791,411
Jamaica/St. Albans,"Hospitality, Accommodation, Restaurants",2019,Percent,0.08366,412
Queens Village,"Hospitality, Accommodation, Restaurants",2019,Percent,0.06718,413
The Rockaways,"Hospitality, Accommodation, Restaurants",2019,Percent,0.07265,414
St. George,"Hospitality, Accommodation, Restaurants",2019,Percent,0.08838,501
South Beach,"Hospitality, Accommodation, Restaurants",2019,Percent,0.0705,502
Tottenville,"Hospitality, Accommodation, Restaurants",2019,Percent,0.05166,503
Bronx,"Hospitality, Accommodation, Restaurants",2019,Percent,0.11934,36005
Brooklyn,"Hospitality, Accommodation, Restaurants",2019,Percent,0.1009,36047
Manhattan,"Hospitality, Accommodation, Restaurants",2019,Percent,0.10705,36061
Queens,"Hospitality, Accommodation, Restaurants",2019,Percent,0.1156,36081
Staten Island,"Hospitality, Accommodation, Restaurants",2019,Percent,0.06994,36085
New York City,"Hospitality, Accommodation, Restaurants",2019,Percent,0.10744,3651000
Battery Park/Tribeca,"Information, Finance, Real Estate",2019,Number,12582.15934,101
Greenwich Village,"Information, Finance, Real Estate",2019,Number,18573.84066,102
Lower East Side,"Information, Finance, Real Estate",2019,Number,13017,103
Chelsea/Clinton,"Information, Finance, Real Estate",2019,Number,21294.38955,104
Midtown Business District,"Information, Finance, Real Estate",2019,Number,10657.61045,105
Murray Hill/Stuyvesant,"Information, Finance, Real Estate",2019,Number,28923,106
Upper West Side,"Information, Finance, Real Estate",2019,Number,28253,107
Upper East Side,"Information, Finance, Real Estate",2019,Number,36061,108
Manhattanville,"Information, Finance, Real Estate",2019,Number,8273,109
Central Harlem,"Information, Finance, Real Estate",2019,Number,8828,110
East Harlem,"Information, Finance, Real Estate",2019,Number,5912,111
Washington Heights,"Information, Finance, Real Estate",2019,Number,11307,112
Mott Haven,"Information, Finance, Real Estate",2019,Number,2623.14782,201
Hunts Point,"Information, Finance, Real Estate",2019,Number,1497.85218,202
Morrisania,"Information, Finance, Real Estate",2019,Number,2233.90353,203
Concourse/Highbridge,"Information, Finance, Real Estate",2019,Number,3706,204
University Heights,"Information, Finance, Real Estate",2019,Number,4177,205
East Tremont,"Information, Finance, Real Estate",2019,Number,2332.09647,206
Bedford Park,"Information, Finance, Real Estate",2019,Number,4437,207
Riverdale,"Information, Finance, Real Estate",2019,Number,6216,208
Unionport/Soundview,"Information, Finance, Real Estate",2019,Number,5715,209
Throgs Neck,"Information, Finance, Real Estate",2019,Number,5403,210
Pelham Parkway,"Information, Finance, Real Estate",2019,Number,4658,211
Williamsbridge,"Information, Finance, Real Estate",2019,Number,5130,212
Williamsburg/Greenpoint,"Information, Finance, Real Estate",2019,Number,16501,301
Fort Greene/Brooklyn Hts,"Information, Finance, Real Estate",2019,Number,15232,302
Bedford Stuyvesant,"Information, Finance, Real Estate",2019,Number,8345,303
Bushwick,"Information, Finance, Real Estate",2019,Number,7511,304
East New York,"Information, Finance, Real Estate",2019,Number,3951,305
Park Slope,"Information, Finance, Real Estate",2019,Number,13911,306
Sunset Park,"Information, Finance, Real Estate",2019,Number,6317,307
Crown Heights North,"Information, Finance, Real Estate",2019,Number,9754,308
Crown Heights South,"Information, Finance, Real Estate",2019,Number,6233,309
Bay Ridge,"Information, Finance, Real Estate",2019,Number,8119,310
Bensonhurst,"Information, Finance, Real Estate",2019,Number,8514,311
Borough Park,"Information, Finance, Real Estate",2019,Number,5843,312
Coney Island,"Information, Finance, Real Estate",2019,Number,4696,313
Flatbush/Midwood,"Information, Finance, Real Estate",2019,Number,8406,314
Sheepshead Bay,"Information, Finance, Real Estate",2019,Number,7865,315
Brownsville,"Information, Finance, Real Estate",2019,Number,3012,316
East Flatbush,"Information, Finance, Real Estate",2019,Number,4792,317
Canarsie,"Information, Finance, Real Estate",2019,Number,8809,318
Astoria,"Information, Finance, Real Estate",2019,Number,14254,401
Sunnyside/Woodside,"Information, Finance, Real Estate",2019,Number,10209,402
Jackson Heights,"Information, Finance, Real Estate",2019,Number,5987,403
Elmhurst/Corona,"Information, Finance, Real Estate",2019,Number,4432,404
Ridgewood/Glendale,"Information, Finance, Real Estate",2019,Number,9821,405
Rego Park/Forest Hills,"Information, Finance, Real Estate",2019,Number,10173,406
Flushing,"Information, Finance, Real Estate",2019,Number,11695,407
Fresh Meadows/Briarwood,"Information, Finance, Real Estate",2019,Number,8307,408
Woodhaven,"Information, Finance, Real Estate",2019,Number,6064,409
Howard Beach,"Information, Finance, Real Estate",2019,Number,6671,410
Bayside,"Information, Finance, Real Estate",2019,Number,8132,411
Jamaica/St. Albans,"Information, Finance, Real Estate",2019,Number,8886,412
Queens Village,"Information, Finance, Real Estate",2019,Number,8467,413
The Rockaways,"Information, Finance, Real Estate",2019,Number,3778,414
St. George,"Information, Finance, Real Estate",2019,Number,7859,501
South Beach,"Information, Finance, Real Estate",2019,Number,7874,502
Tottenville,"Information, Finance, Real Estate",2019,Number,9729,503
Bronx,"Information, Finance, Real Estate",2019,Number,48129,36005
Brooklyn,"Information, Finance, Real Estate",2019,Number,147811,36047
Manhattan,"Information, Finance, Real Estate",2019,Number,203682,36061
Queens,"Information, Finance, Real Estate",2019,Number,116876,36081
Staten Island,"Information, Finance, Real Estate",2019,Number,25462,36085
New York City,"Information, Finance, Real Estate",2019,Number,541960,3651000
Battery Park/Tribeca,"Information, Finance, Real Estate",2019,Percent,0.31525,101
Greenwich Village,"Information, Finance, Real Estate",2019,Percent,0.31525,102
Lower East Side,"Information, Finance, Real Estate",2019,Percent,0.17402,103
Chelsea/Clinton,"Information, Finance, Real Estate",2019,Percent,0.3017,104
Midtown Business District,"Information, Finance, Real Estate",2019,Percent,0.3017,105
Murray Hill/Stuyvesant,"Information, Finance, Real Estate",2019,Percent,0.29886,106
Upper West Side,"Information, Finance, Real Estate",2019,Percent,0.25662,107
Upper East Side,"Information, Finance, Real Estate",2019,Percent,0.28753,108
Manhattanville,"Information, Finance, Real Estate",2019,Percent,0.12391,109
Central Harlem,"Information, Finance, Real Estate",2019,Percent,0.13355,110
East Harlem,"Information, Finance, Real Estate",2019,Percent,0.12159,111
Washington Heights,"Information, Finance, Real Estate",2019,Percent,0.10081,112
Mott Haven,"Information, Finance, Real Estate",2019,Percent,0.07491,201
Hunts Point,"Information, Finance, Real Estate",2019,Percent,0.07491,202
Morrisania,"Information, Finance, Real Estate",2019,Percent,0.07237,203
Concourse/Highbridge,"Information, Finance, Real Estate",2019,Percent,0.06377,204
University Heights,"Information, Finance, Real Estate",2019,Percent,0.07582,205
East Tremont,"Information, Finance, Real Estate",2019,Percent,0.07237,206
Bedford Park,"Information, Finance, Real Estate",2019,Percent,0.07517,207
Riverdale,"Information, Finance, Real Estate",2019,Percent,0.12215,208
Unionport/Soundview,"Information, Finance, Real Estate",2019,Percent,0.0736,209
Throgs Neck,"Information, Finance, Real Estate",2019,Percent,0.09701,210
Pelham Parkway,"Information, Finance, Real Estate",2019,Percent,0.08113,211
Williamsbridge,"Information, Finance, Real Estate",2019,Percent,0.07396,212
Williamsburg/Greenpoint,"Information, Finance, Real Estate",2019,Percent,0.18658,301
Fort Greene/Brooklyn Hts,"Information, Finance, Real Estate",2019,Percent,0.19263,302
Bedford Stuyvesant,"Information, Finance, Real Estate",2019,Percent,0.12003,303
Bushwick,"Information, Finance, Real Estate",2019,Percent,0.11114,304
East New York,"Information, Finance, Real Estate",2019,Percent,0.06091,305
Park Slope,"Information, Finance, Real Estate",2019,Percent,0.20603,306
Sunset Park,"Information, Finance, Real Estate",2019,Percent,0.09371,307
Crown Heights North,"Information, Finance, Real Estate",2019,Percent,0.13814,308
Crown Heights South,"Information, Finance, Real Estate",2019,Percent,0.11674,309
Bay Ridge,"Information, Finance, Real Estate",2019,Percent,0.1353,310
Bensonhurst,"Information, Finance, Real Estate",2019,Percent,0.09589,311
Borough Park,"Information, Finance, Real Estate",2019,Percent,0.10174,312
Coney Island,"Information, Finance, Real Estate",2019,Percent,0.1061,313
Flatbush/Midwood,"Information, Finance, Real Estate",2019,Percent,0.11361,314
Sheepshead Bay,"Information, Finance, Real Estate",2019,Percent,0.11531,315
Brownsville,"Information, Finance, Real Estate",2019,Percent,0.06818,316
East Flatbush,"Information, Finance, Real Estate",2019,Percent,0.07415,317
Canarsie,"Information, Finance, Real Estate",2019,Percent,0.09069,318
Astoria,"Information, Finance, Real Estate",2019,Percent,0.15085,401
Sunnyside/Woodside,"Information, Finance, Real Estate",2019,Percent,0.13332,402
Jackson Heights,"Information, Finance, Real Estate",2019,Percent,0.06921,403
Elmhurst/Corona,"Information, Finance, Real Estate",2019,Percent,0.06266,404
Ridgewood/Glendale,"Information, Finance, Real Estate",2019,Percent,0.10345,405
Rego Park/Forest Hills,"Information, Finance, Real Estate",2019,Percent,0.17009,406
Flushing,"Information, Finance, Real Estate",2019,Percent,0.10474,407
Fresh Meadows/Briarwood,"Information, Finance, Real Estate",2019,Percent,0.10684,408
Woodhaven,"Information, Finance, Real Estate",2019,Percent,0.0827,409
Howard Beach,"Information, Finance, Real Estate",2019,Percent,0.10372,410
Bayside,"Information, Finance, Real Estate",2019,Percent,0.13946,411
Jamaica/St. Albans,"Information, Finance, Real Estate",2019,Percent,0.07805,412
Queens Village,"Information, Finance, Real Estate",2019,Percent,0.08472,413
The Rockaways,"Information, Finance, Real Estate",2019,Percent,0.07163,414
St. George,"Information, Finance, Real Estate",2019,Percent,0.10412,501
South Beach,"Information, Finance, Real Estate",2019,Percent,0.12915,502
Tottenville,"Information, Finance, Real Estate",2019,Percent,0.12466,503
Bronx,"Information, Finance, Real Estate",2019,Percent,0.08004,36005
Brooklyn,"Information, Finance, Real Estate",2019,Percent,0.12046,36047
Manhattan,"Information, Finance, Real Estate",2019,Percent,0.22494,36061
Queens,"Information, Finance, Real Estate",2019,Percent,0.10299,36081
Staten Island,"Information, Finance, Real Estate",2019,Percent,0.11871,36085
New York City,"Information, Finance, Real Estate",2019,Percent,0.13273,3651000
Battery Park/Tribeca,Management and Professional Services,2019,Number,10501.15193,101
Greenwich Village,Management and Professional Services,2019,Number,15501.84807,102
Lower East Side,Management and Professional Services,2019,Number,17030,103
Chelsea/Clinton,Management and Professional Services,2019,Number,18076.10565,104
Midtown Business District,Management and Professional Services,2019,Number,9046.89435,105
Murray Hill/Stuyvesant,Management and Professional Services,2019,Number,25205,106
Upper West Side,Management and Professional Services,2019,Number,26381,107
Upper East Side,Management and Professional Services,2019,Number,26463,108
Manhattanville,Management and Professional Services,2019,Number,9307,109
Central Harlem,Management and Professional Services,2019,Number,9055,110
East Harlem,Management and Professional Services,2019,Number,6003,111
Washington Heights,Management and Professional Services,2019,Number,12675,112
Mott Haven,Management and Professional Services,2019,Number,3301.05426,201
Hunts Point,Management and Professional Services,2019,Number,1884.94574,202
Morrisania,Management and Professional Services,2019,Number,2617.47347,203
Concourse/Highbridge,Management and Professional Services,2019,Number,5868,204
University Heights,Management and Professional Services,2019,Number,4442,205
East Tremont,Management and Professional Services,2019,Number,2732.52653,206
Bedford Park,Management and Professional Services,2019,Number,5173,207
Riverdale,Management and Professional Services,2019,Number,6065,208
Unionport/Soundview,Management and Professional Services,2019,Number,6325,209
Throgs Neck,Management and Professional Services,2019,Number,4826,210
Pelham Parkway,Management and Professional Services,2019,Number,4875,211
Williamsbridge,Management and Professional Services,2019,Number,5976,212
Williamsburg/Greenpoint,Management and Professional Services,2019,Number,21315,301
Fort Greene/Brooklyn Hts,Management and Professional Services,2019,Number,19711,302
Bedford Stuyvesant,Management and Professional Services,2019,Number,10421,303
Bushwick,Management and Professional Services,2019,Number,10255,304
East New York,Management and Professional Services,2019,Number,6255,305
Park Slope,Management and Professional Services,2019,Number,17614,306
Sunset Park,Management and Professional Services,2019,Number,7845,307
Crown Heights North,Management and Professional Services,2019,Number,12548,308
Crown Heights South,Management and Professional Services,2019,Number,6761,309
Bay Ridge,Management and Professional Services,2019,Number,7150,310
Bensonhurst,Management and Professional Services,2019,Number,8346,311
Borough Park,Management and Professional Services,2019,Number,5887,312
Coney Island,Management and Professional Services,2019,Number,4488,313
Flatbush/Midwood,Management and Professional Services,2019,Number,8618,314
Sheepshead Bay,Management and Professional Services,2019,Number,6964,315
Brownsville,Management and Professional Services,2019,Number,4641,316
East Flatbush,Management and Professional Services,2019,Number,6233,317
Canarsie,Management and Professional Services,2019,Number,8459,318
Astoria,Management and Professional Services,2019,Number,15692,401
Sunnyside/Woodside,Management and Professional Services,2019,Number,12308,402
Jackson Heights,Management and Professional Services,2019,Number,8973,403
Elmhurst/Corona,Management and Professional Services,2019,Number,6899,404
Ridgewood/Glendale,Management and Professional Services,2019,Number,11250,405
Rego Park/Forest Hills,Management and Professional Services,2019,Number,10541,406
Flushing,Management and Professional Services,2019,Number,11381,407
Fresh Meadows/Briarwood,Management and Professional Services,2019,Number,7377,408
Woodhaven,Management and Professional Services,2019,Number,8062,409
Howard Beach,Management and Professional Services,2019,Number,5984,410
Bayside,Management and Professional Services,2019,Number,6700,411
Jamaica/St. Albans,Management and Professional Services,2019,Number,9309,412
Queens Village,Management and Professional Services,2019,Number,8868,413
The Rockaways,Management and Professional Services,2019,Number,5465,414
St. George,Management and Professional Services,2019,Number,8312,501
South Beach,Management and Professional Services,2019,Number,7271,502
Tottenville,Management and Professional Services,2019,Number,9258,503
Bronx,Management and Professional Services,2019,Number,54086,36005
Brooklyn,Management and Professional Services,2019,Number,173511,36047
Manhattan,Management and Professional Services,2019,Number,185245,36061
Queens,Management and Professional Services,2019,Number,128806,36081
Staten Island,Management and Professional Services,2019,Number,24841,36085
New York City,Management and Professional Services,2019,Number,566489,3651000
Battery Park/Tribeca,Management and Professional Services,2019,Percent,0.26311,101
Greenwich Village,Management and Professional Services,2019,Percent,0.26311,102
Lower East Side,Management and Professional Services,2019,Percent,0.22766,103
Chelsea/Clinton,Management and Professional Services,2019,Percent,0.2561,104
Midtown Business District,Management and Professional Services,2019,Percent,0.2561,105
Murray Hill/Stuyvesant,Management and Professional Services,2019,Percent,0.26044,106
Upper West Side,Management and Professional Services,2019,Percent,0.23962,107
Upper East Side,Management and Professional Services,2019,Percent,0.211,108
Manhattanville,Management and Professional Services,2019,Percent,0.1394,109
Central Harlem,Management and Professional Services,2019,Percent,0.13699,110
East Harlem,Management and Professional Services,2019,Percent,0.12346,111
Washington Heights,Management and Professional Services,2019,Percent,0.11301,112
Mott Haven,Management and Professional Services,2019,Percent,0.09427,201
Hunts Point,Management and Professional Services,2019,Percent,0.09427,202
Morrisania,Management and Professional Services,2019,Percent,0.08479,203
Concourse/Highbridge,Management and Professional Services,2019,Percent,0.10098,204
University Heights,Management and Professional Services,2019,Percent,0.08063,205
East Tremont,Management and Professional Services,2019,Percent,0.08479,206
Bedford Park,Management and Professional Services,2019,Percent,0.08764,207
Riverdale,Management and Professional Services,2019,Percent,0.11918,208
Unionport/Soundview,Management and Professional Services,2019,Percent,0.08146,209
Throgs Neck,Management and Professional Services,2019,Percent,0.08665,210
Pelham Parkway,Management and Professional Services,2019,Percent,0.08491,211
Williamsbridge,Management and Professional Services,2019,Percent,0.08615,212
Williamsburg/Greenpoint,Management and Professional Services,2019,Percent,0.24102,301
Fort Greene/Brooklyn Hts,Management and Professional Services,2019,Percent,0.24928,302
Bedford Stuyvesant,Management and Professional Services,2019,Percent,0.14989,303
Bushwick,Management and Professional Services,2019,Percent,0.15175,304
East New York,Management and Professional Services,2019,Percent,0.09643,305
Park Slope,Management and Professional Services,2019,Percent,0.26088,306
Sunset Park,Management and Professional Services,2019,Percent,0.11637,307
Crown Heights North,Management and Professional Services,2019,Percent,0.17772,308
Crown Heights South,Management and Professional Services,2019,Percent,0.12663,309
Bay Ridge,Management and Professional Services,2019,Percent,0.11915,310
Bensonhurst,Management and Professional Services,2019,Percent,0.094,311
Borough Park,Management and Professional Services,2019,Percent,0.10251,312
Coney Island,Management and Professional Services,2019,Percent,0.1014,313
Flatbush/Midwood,Management and Professional Services,2019,Percent,0.11647,314
Sheepshead Bay,Management and Professional Services,2019,Percent,0.1021,315
Brownsville,Management and Professional Services,2019,Percent,0.10505,316
East Flatbush,Management and Professional Services,2019,Percent,0.09645,317
Canarsie,Management and Professional Services,2019,Percent,0.08709,318
Astoria,Management and Professional Services,2019,Percent,0.16607,401
Sunnyside/Woodside,Management and Professional Services,2019,Percent,0.16073,402
Jackson Heights,Management and Professional Services,2019,Percent,0.10374,403
Elmhurst/Corona,Management and Professional Services,2019,Percent,0.09754,404
Ridgewood/Glendale,Management and Professional Services,2019,Percent,0.1185,405
Rego Park/Forest Hills,Management and Professional Services,2019,Percent,0.17624,406
Flushing,Management and Professional Services,2019,Percent,0.10193,407
Fresh Meadows/Briarwood,Management and Professional Services,2019,Percent,0.09488,408
Woodhaven,Management and Professional Services,2019,Percent,0.10995,409
Howard Beach,Management and Professional Services,2019,Percent,0.09304,410
Bayside,Management and Professional Services,2019,Percent,0.1149,411
Jamaica/St. Albans,Management and Professional Services,2019,Percent,0.08177,412
Queens Village,Management and Professional Services,2019,Percent,0.08873,413
The Rockaways,Management and Professional Services,2019,Percent,0.10362,414
St. George,Management and Professional Services,2019,Percent,0.11012,501
South Beach,Management and Professional Services,2019,Percent,0.11926,502
Tottenville,Management and Professional Services,2019,Percent,0.11862,503
Bronx,Management and Professional Services,2019,Percent,0.08994,36005
Brooklyn,Management and Professional Services,2019,Percent,0.14141,36047
Manhattan,Management and Professional Services,2019,Percent,0.20458,36061
Queens,Management and Professional Services,2019,Percent,0.1135,36081
Staten Island,Management and Professional Services,2019,Percent,0.11581,36085
New York City,Management and Professional Services,2019,Percent,0.13874,3651000
Battery Park/Tribeca,Other Services,2019,Number,1163.87801,101
Greenwich Village,Other Services,2019,Number,1718.12199,102
Lower East Side,Other Services,2019,Number,3126,103
Chelsea/Clinton,Other Services,2019,Number,2361.23004,104
Midtown Business District,Other Services,2019,Number,1181.76996,105
Murray Hill/Stuyvesant,Other Services,2019,Number,3096,106
Upper West Side,Other Services,2019,Number,3453,107
Upper East Side,Other Services,2019,Number,5065,108
Manhattanville,Other Services,2019,Number,3794,109
Central Harlem,Other Services,2019,Number,3610,110
East Harlem,Other Services,2019,Number,2580,111
Washington Heights,Other Services,2019,Number,7802,112
Mott Haven,Other Services,2019,Number,1928.69155,201
Hunts Point,Other Services,2019,Number,1101.30845,202
Morrisania,Other Services,2019,Number,1905.61854,203
Concourse/Highbridge,Other Services,2019,Number,3585,204
University Heights,Other Services,2019,Number,3205,205
East Tremont,Other Services,2019,Number,1989.38146,206
Bedford Park,Other Services,2019,Number,4120,207
Riverdale,Other Services,2019,Number,2853,208
Unionport/Soundview,Other Services,2019,Number,3757,209
Throgs Neck,Other Services,2019,Number,2294,210
Pelham Parkway,Other Services,2019,Number,2718,211
Williamsbridge,Other Services,2019,Number,3888,212
Williamsburg/Greenpoint,Other Services,2019,Number,3704,301
Fort Greene/Brooklyn Hts,Other Services,2019,Number,3363,302
Bedford Stuyvesant,Other Services,2019,Number,3407,303
Bushwick,Other Services,2019,Number,3621,304
East New York,Other Services,2019,Number,3588,305
Park Slope,Other Services,2019,Number,2727,306
Sunset Park,Other Services,2019,Number,4816,307
Crown Heights North,Other Services,2019,Number,4765,308
Crown Heights South,Other Services,2019,Number,3091,309
Bay Ridge,Other Services,2019,Number,3170,310
Bensonhurst,Other Services,2019,Number,4868,311
Borough Park,Other Services,2019,Number,2602,312
Coney Island,Other Services,2019,Number,2187,313
Flatbush/Midwood,Other Services,2019,Number,3532,314
Sheepshead Bay,Other Services,2019,Number,3107,315
Brownsville,Other Services,2019,Number,2649,316
East Flatbush,Other Services,2019,Number,4040,317
Canarsie,Other Services,2019,Number,3695,318
Astoria,Other Services,2019,Number,5130,401
Sunnyside/Woodside,Other Services,2019,Number,4372,402
Jackson Heights,Other Services,2019,Number,7239,403
Elmhurst/Corona,Other Services,2019,Number,6088,404
Ridgewood/Glendale,Other Services,2019,Number,5921,405
Rego Park/Forest Hills,Other Services,2019,Number,3188,406
Flushing,Other Services,2019,Number,10893,407
Fresh Meadows/Briarwood,Other Services,2019,Number,5490,408
Woodhaven,Other Services,2019,Number,4432,409
Howard Beach,Other Services,2019,Number,2885,410
Bayside,Other Services,2019,Number,3900,411
Jamaica/St. Albans,Other Services,2019,Number,5329,412
Queens Village,Other Services,2019,Number,3890,413
The Rockaways,Other Services,2019,Number,3190,414
St. George,Other Services,2019,Number,3462,501
South Beach,Other Services,2019,Number,2912,502
Tottenville,Other Services,2019,Number,2442,503
Bronx,Other Services,2019,Number,33345,36005
Brooklyn,Other Services,2019,Number,62932,36047
Manhattan,Other Services,2019,Number,38951,36061
Queens,Other Services,2019,Number,71947,36081
Staten Island,Other Services,2019,Number,8816,36085
New York City,Other Services,2019,Number,215991,3651000
Battery Park/Tribeca,Other Services,2019,Percent,0.02916,101
Greenwich Village,Other Services,2019,Percent,0.02916,102
Lower East Side,Other Services,2019,Percent,0.04179,103
Chelsea/Clinton,Other Services,2019,Percent,0.03345,104
Midtown Business District,Other Services,2019,Percent,0.03345,105
Murray Hill/Stuyvesant,Other Services,2019,Percent,0.03199,106
